2023-04-10 17:42:41.011208: iter: [1/50], train_loss: 0.646565, valid_loss: 0.577213
2023-04-10 18:01:22.404578: iter: [2/50], train_loss: 0.546778, valid_loss: 0.545511
2023-04-10 18:20:11.166470: iter: [3/50], train_loss: 0.503337, valid_loss: 0.501955
2023-04-10 18:38:46.194920: iter: [4/50], train_loss: 0.474496, valid_loss: 0.502577
2023-04-10 18:57:06.949257: iter: [5/50], train_loss: 0.457831, valid_loss: 0.484971
2023-04-10 19:15:48.391411: iter: [6/50], train_loss: 0.439093, valid_loss: 0.471311
2023-04-10 19:34:16.285791: iter: [7/50], train_loss: 0.429186, valid_loss: 0.517176
2023-04-10 19:52:07.026442: iter: [8/50], train_loss: 0.415938, valid_loss: 0.526819
2023-04-10 20:10:04.847858: iter: [9/50], train_loss: 0.409144, valid_loss: 0.465732
2023-04-10 20:24:32.242747: iter: [10/50], train_loss: 0.402634, valid_loss: 0.483074
2023-04-10 20:38:22.592912: iter: [11/50], train_loss: 0.397613, valid_loss: 0.471709
2023-04-10 20:52:17.054287: iter: [12/50], train_loss: 0.386334, valid_loss: 0.446596
2023-05-05 17:36:18.309353: iter: [1/15], train_loss: 0.691454, valid_loss: 0.667533
2023-05-05 18:18:30.831865: iter: [2/15], train_loss: 0.646342, valid_loss: 0.640955
2023-05-05 19:06:56.040019: iter: [3/15], train_loss: 0.626171, valid_loss: 0.637290
2023-05-05 19:41:15.122763: iter: [4/15], train_loss: 0.589939, valid_loss: 0.655024
2023-05-05 20:24:52.901066: iter: [5/15], train_loss: 0.556062, valid_loss: 0.597101
2023-05-05 21:01:52.296284: iter: [6/15], train_loss: 0.530141, valid_loss: 0.581559
2023-05-05 21:38:19.410297: iter: [7/15], train_loss: 0.511731, valid_loss: 0.606646
2023-05-05 22:13:55.009212: iter: [8/15], train_loss: 0.492579, valid_loss: 0.651241
2023-05-05 22:51:36.067124: iter: [9/15], train_loss: 0.480421, valid_loss: 0.571652
2023-05-05 23:38:47.724665: iter: [10/15], train_loss: 0.468347, valid_loss: 0.547378
2023-05-06 00:28:01.143547: iter: [11/15], train_loss: 0.455698, valid_loss: 0.520014
2023-05-06 01:17:11.538115: iter: [12/15], train_loss: 0.443281, valid_loss: 0.511647
2023-05-06 02:06:13.345816: iter: [13/15], train_loss: 0.437490, valid_loss: 0.458734
2023-05-06 02:56:14.210580: iter: [14/15], train_loss: 0.422295, valid_loss: 0.463219
2023-05-06 03:45:57.566515: iter: [15/15], train_loss: 0.415405, valid_loss: 0.443645
2023-05-06 12:08:05.770143: iter: [1/40], train_loss: 0.214119, valid_loss: 0.244125
2023-05-06 12:47:53.715079: iter: [2/40], train_loss: 0.176811, valid_loss: 0.240364
2023-05-06 13:36:10.198900: iter: [3/40], train_loss: 0.159414, valid_loss: 0.258470
2023-05-06 14:14:31.703078: iter: [4/40], train_loss: 0.143746, valid_loss: 0.202114
2023-05-06 14:53:17.828757: iter: [5/40], train_loss: 0.127467, valid_loss: 0.563140
2023-05-06 15:31:44.839665: iter: [6/40], train_loss: 0.115218, valid_loss: 0.319878
2023-05-06 16:10:17.085395: iter: [7/40], train_loss: 0.107051, valid_loss: 1.221759
2023-05-06 16:48:34.694741: iter: [8/40], train_loss: 0.100385, valid_loss: 0.421370
2023-05-06 17:29:39.655489: iter: [9/40], train_loss: 0.093247, valid_loss: 0.338925
2023-05-06 18:07:15.044614: iter: [10/40], train_loss: 0.091261, valid_loss: 0.302620
2023-05-06 18:34:25.750320: iter: [11/40], train_loss: 0.084885, valid_loss: 0.670374
2023-05-06 19:01:01.002286: iter: [12/40], train_loss: 0.080010, valid_loss: 0.525499
